AccX,AccY,AccZ,Tmp,GyroX,GyroY,GyroZ
-7176,6532,12192,32.77,-474,-58,22
-7180,6424,12308,32.72,-452,-103,44
-7096,6312,12172,32.72,158,-53,-75
-7256,6500,12108,32.67,-241,-159,21
-7288,6460,12368,32.67,-433,-59,15
-7180,6428,12300,32.81,-200,-12,19
-7100,6364,12300,32.62,-266,8,-1
-7024,6340,12256,32.72,-253,7,-17
-7156,6464,12244,32.77,-83,169,-40
-7088,6492,12180,32.72,-383,43,-8
-7020,6516,12140,32.67,-925,-50,48
-7172,6452,12252,32.72,-311,46,20
-7136,6484,12068,32.67,103,19,-46
-7132,6512,12284,32.62,-572,-61,27
-7228,6444,12228,32.58,504,-25,-108
-7144,6532,12100,32.77,-986,-170,79
-7200,6456,12340,32.77,485,-41,-96
-7208,6372,12264,32.72,-513,-64,71
-7220,6496,12120,32.81,-515,-84,36
-7112,6388,12140,32.67,-381,65,15
-7116,6460,12312,32.72,-268,-67,4
-7256,6532,12184,32.77,-154,-26,-21
-7080,6392,12220,32.62,-464,-20,10
-7216,6520,12244,32.62,-135,-61,-21
-7072,6480,12176,32.72,-161,-18,-18
-7248,6320,12312,32.67,-182,-52,-25
-7256,6452,12228,32.67,-192,-18,-18
-7092,6424,12444,32.67,-293,-50,8
-7244,6400,12292,32.81,-202,-4,13
-7176,6368,12284,32.77,-417,-88,14
-7136,6404,12316,32.62,-183,-13,-28
-7100,6404,12328,32.81,-267,-37,25
-7124,6548,12272,32.77,-174,82,-40
-7064,6312,12388,32.72,-476,-57,-4
-7232,6500,12352,32.81,367,40,-80
-7096,6396,12024,32.77,-339,-68,86
-7112,6392,12324,32.81,171,106,-47
-7172,6320,12380,32.77,-629,-78,30
-7184,6468,12096,32.67,-225,-25,-37
-7148,6420,12384,32.72,-245,-32,-44
-7108,6392,12276,32.72,148,-14,-91
-7144,6376,12328,32.72,-574,-24,46
-7200,6484,12428,32.67,-369,61,36
-7180,6416,12324,32.72,-243,-29,8
-7140,6340,12352,32.77,-504,111,58
-7124,6484,12232,32.81,355,34,-117
-7172,6500,12196,32.67,-359,-76,0
-7232,6396,12080,32.72,91,17,-60
-7148,6404,12212,32.77,-508,-17,41
-7100,6508,12280,32.72,-328,-102,-22
-7104,6444,12216,32.62,-522,-33,27
-7168,6396,12316,32.72,287,31,-28
-7160,6380,12152,32.81,-533,-75,20
-7260,6376,12248,32.72,-443,-136,-5
-7136,6440,12248,32.72,-205,-43,11
-7160,6464,12292,32.67,-418,-23,12
-7140,6480,12088,32.72,67,57,-69
-7080,6464,12268,32.77,-514,-173,19
-7144,6556,12208,32.72,123,33,-36
-7172,6380,12368,32.77,-353,-93,14
-7212,6420,12492,32.86,-76,-48,-33
-7156,6376,12288,32.72,-452,-17,35
-7216,6332,12388,32.62,-307,-83,-9
-7248,6480,12328,32.77,-184,-128,-33
-7232,6508,12188,32.77,185,6,-70
-7212,6476,12420,32.81,-496,-79,2
-7208,6292,12116,32.77,-19,17,-49
-7116,6480,12168,32.67,-234,-194,-32
-7120,6432,12268,32.72,190,-79,-37
-7112,6396,12364,32.77,-424,-62,12
-7148,6352,12416,32.81,-320,-45,16
-7200,6528,12320,32.72,-340,-47,-11
-7224,6468,12244,32.72,-235,-55,-25
-7084,6304,12296,32.77,-329,-90,-24
-7148,6416,12128,32.77,-133,-51,-19
-7316,6348,12204,32.77,-333,-81,-8
-7224,6512,12276,32.81,-180,-22,-24
-7140,6320,12332,32.81,-277,-46,-7
-7124,6436,12240,32.86,-343,-46,4
-7196,6348,12256,32.81,-219,-35,8
-7120,6356,12368,32.77,-170,-48,-12
-7144,6460,12352,32.77,-218,-32,1
